County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
United States,19481418,11621558,36275313,24653755,7859860,7859860,0
".Autauga County, Alabama",1272,713,5862,5149,554,9,545
".Baldwin County, Alabama",40969,1650,20641,18991,38880,1343,37537
".Barbour County, Alabama",-2769,-297,2594,2891,-2484,43,-2527
".Bibb County, Alabama",-521,16,2355,2339,-532,120,-652
".Blount County, Alabama",504,506,6312,5806,47,117,-70
".Bullock County, Alabama",-810,56,1201,1145,-874,77,-951
".Butler County, Alabama",-1492,-284,2213,2497,-1205,146,-1351
".Calhoun County, Alabama",-4921,-926,12345,13271,-3943,554,-4497
".Chambers County, Alabama",-915,-524,3611,4135,-374,168,-542
".Cherokee County, Alabama",217,-1026,2143,3169,1263,1,1262
".Chilton County, Alabama",796,507,5091,4584,321,236,85
".Choctaw County, Alabama",-1269,-357,1237,1594,-908,-16,-892
".Clarke County, Alabama",-2211,-192,2533,2725,-2036,-17,-2019
".Clay County, Alabama",-695,-375,1297,1672,-316,-9,-307
".Cleburne County, Alabama",-62,-61,1642,1703,6,-66,72
".Coffee County, Alabama",2387,1103,5844,4741,1272,824,448
".Colbert County, Alabama",813,-840,5703,6543,1704,433,1271
".Conecuh County, Alabama",-1169,-303,1288,1591,-869,7,-876
".Coosa County, Alabama",-1093,-394,862,1256,-698,75,-773
".Covington County, Alabama",-713,-707,4077,4784,32,-27,59
".Crenshaw County, Alabama",-121,-240,1379,1619,123,52,71
".Cullman County, Alabama",3362,-13,9120,9133,3433,322,3111
".Dale County, Alabama",-1079,1525,6137,4612,-2604,702,-3306
".Dallas County, Alabama",-6617,-178,4760,4938,-6484,6,-6490
".DeKalb County, Alabama",393,559,7756,7197,-117,510,-627
".Elmore County, Alabama",1937,1666,8723,7057,309,389,-80
".Escambia County, Alabama",-1687,-234,4108,4342,-1439,-2,-1437
".Etowah County, Alabama",-2161,-1921,10979,12900,-142,273,-415
".Fayette County, Alabama",-933,-526,1630,2156,-396,21,-417
".Franklin County, Alabama",-347,398,3928,3530,-736,469,-1205
".Geneva County, Alabama",-510,-570,2736,3306,76,-67,143
".Greene County, Alabama",-928,-76,941,1017,-862,1,-863
".Hale County, Alabama",-1111,147,1821,1674,-1271,-3,-1268
".Henry County, Alabama",-94,-393,1627,2020,311,32,279
".Houston County, Alabama",4322,2120,12057,9937,2280,248,2032
".Jackson County, Alabama",-1597,-1121,5239,6360,-431,147,-578
".Jefferson County, Alabama",6,15440,80777,65337,-14943,5646,-20589
".Lamar County, Alabama",-759,-419,1376,1795,-328,1,-329
