County,tot_change,Natural,Births,Deaths,Migration_total,International,Domestic,State,tot_pop,State_code,county_code,fips,percent,log_change,log_pop,domestic_percentage,domestic_log,new
Autauga County,1272.0,713.0,5862.0,5149.0,554.0,9.0,545.0,Alabama,54773.0,1,1,01001,0.023223120880725905,7.148345743900068,10.910952650789293,0.009950157924524857,6.300785794663244,13.39383222294792
Baldwin County,40969.0,1650.0,20641.0,18991.0,38880.0,1343.0,37537.0,Alabama,183112.0,1,3,01003,0.22373738476997684,10.620570962139544,12.117853266472485,0.20499475730700337,10.533082392189554,13.448694364948649
Barbour County,-2769.0,-297.0,2594.0,2891.0,-2484.0,43.0,-2527.0,Alabama,27327.0,1,5,01005,-0.10132835657042485,-7.926241523170962,10.21563050341292,-0.09247264610092583,-7.834788107388194,13.389137902360368
Bibb County,-521.0,16.0,2355.0,2339.0,-532.0,120.0,-652.0,Alabama,22870.0,1,7,01007,-0.022780935723655443,-6.255750041753367,10.037581287016828,-0.0285089637079143,-6.480044561926653,13.3920057077643
Blount County,504.0,506.0,6312.0,5806.0,47.0,117.0,-70.0,Alabama,57376.0,1,9,01009,0.008784160624651422,6.222576268071369,10.957381376404859,-0.001220022308979364,-4.248495242049359,13.392894204538214
Bullock County,-810.0,56.0,1201.0,1145.0,-874.0,77.0,-951.0,Alabama,10876.0,1,11,01011,-0.07447591026112542,-6.697034247666484,9.294313805752362,-0.08744023538065465,-6.85751406254539,13.391548939218087
Butler County,-1492.0,-284.0,2213.0,2497.0,-1205.0,146.0,-1351.0,Alabama,20932.0,1,13,01013,-0.07127842537741258,-7.307872780763706,9.949034367492098,-0.06454232753678578,-7.208600337960199,13.390937551180107
Calhoun County,-4921.0,-926.0,12345.0,13271.0,-3943.0,554.0,-4497.0,Alabama,118408.0,1,15,01015,-0.0415596919127086,-8.501267040865978,11.681891566717024,-0.03797885278021755,-8.411165786770708,13.386115908552776
Chambers County,-915.0,-524.0,3611.0,4135.0,-374.0,168.0,-542.0,Alabama,34122.0,1,17,01017,-0.026815544223668015,-6.818924065275521,10.437697616534855,-0.015884180294238322,-6.295266001439646,13.392173697221066
Cherokee County,217.0,-1026.0,2143.0,3169.0,1263.0,1.0,1262.0,Alabama,25963.0,1,19,01019,0.008358047991372337,5.37989735354046,10.164427726544904,0.04860763394060779,7.140453043101158,13.394924705421825
Chilton County,796.0,507.0,5091.0,4584.0,321.0,236.0,85.0,Alabama,43653.0,1,21,01021,0.01823471468169427,6.679599185844383,10.684027287428389,0.0019471743064623278,4.442651256490317,13.39313069862887
Choctaw County,-1269.0,-357.0,1237.0,1594.0,-908.0,-16.0,-892.0,Alabama,13849.0,1,23,01023,-0.09163116470503285,-7.1459844677143876,9.535968306842717,-0.06440898259802152,-6.79346613258001,13.391639087328437
Clarke County,-2211.0,-192.0,2533.0,2725.0,-2036.0,-17.0,-2019.0,Alabama,25766.0,1,25,01025,-0.08581075836373515,-7.701200180857446,10.15681107235147,-0.07835907785453698,-7.610357618312838,13.389915699060872
Clay County,-695.0,-375.0,1297.0,1672.0,-316.0,-9.0,-307.0,Alabama,13898.0,1,27,01027,-0.05000719527989639,-6.543911845564792,9.539500223874272,-0.022089509281911068,-5.726847747587197,13.392532489271336
Cleburne County,-62.0,-61.0,1642.0,1703.0,6.0,-66.0,72.0,Alabama,15004.0,1,29,01029,-0.004132231404958678,-4.127134385045092,9.616072111201778,0.004798720341242335,4.276666119016055,13.393110865789197
Coffee County,2387.0,1103.0,5844.0,4741.0,1272.0,824.0,448.0,Alabama,50208.0,1,31,01031,0.047542224346717656,7.77779262633883,10.823929655532758,0.008922880815806247,6.104793232414985,13.393684333760865
Colbert County,813.0,-840.0,5703.0,6543.0,1704.0,433.0,1271.0,Alabama,54524.0,1,33,01033,0.014910864940209816,6.70073110954781,10.906396250690733,0.023310835595334166,7.147559271189454,13.39493841100906
Conecuh County,-1169.0,-303.0,1288.0,1591.0,-869.0,7.0,-876.0,Alabama,13236.0,1,35,01035,-0.08831973405862799,-7.063903961472068,9.490695669041504,-0.06618313689936536,-6.775366090936392,13.391663532872933
Coosa County,-1093.0,-394.0,862.0,1256.0,-698.0,75.0,-773.0,Alabama,11780.0,1,37,01037,-0.09278438030560272,-6.996681488176539,9.374158457205578,-0.06561969439728353,-6.650279048587422,13.391820886761387
Covington County,-713.0,-707.0,4077.0,4784.0,32.0,-27.0,59.0,Alabama,37809.0,1,39,01039,-0.018857943875796767,-6.569481420414296,10.540302448505601,0.0015604750191753286,4.07753744390572,13.393091032556173
Crenshaw County,-121.0,-240.0,1379.0,1619.0,123.0,52.0,71.0,Alabama,13869.0,1,41,01041,-0.008724493474655707,-4.795790545596741,9.537411412656335,0.00511933088182277,4.2626798770413155,13.393109340169852
Cullman County,3362.0,-13.0,9120.0,9133.0,3433.0,322.0,3111.0,Alabama,80456.0,1,43,01043,0.04178681515362434,8.120291313968561,11.295465730124317,0.038667097543999204,8.042699496897637,13.39773650465769
Dale County,-1079.0,1525.0,6137.0,4612.0,-2604.0,702.0,-3306.0,Alabama,50394.0,1,45,01045,-0.021411279120530223,-6.983789965258135,10.827627399353682,-0.06560304798190261,-8.10349427838097,13.387944002296178
Dallas County,-6617.0,-178.0,4760.0,4938.0,-6484.0,6.0,-6490.0,Alabama,43854.0,1,47,01047,-0.1508870342500114,-8.797397374012059,10.688621213708446,-0.14799106124868883,-8.778017809698136,13.38304931118554
DeKalb County,393.0,559.0,7756.0,7197.0,-117.0,510.0,-627.0,Alabama,71163.0,1,49,01049,0.005522532776864382,5.973809611869261,11.172728299407147,-0.008810758399730197,-6.440946540632921,13.392043889664404
Elmore County,1937.0,1666.0,8723.0,7057.0,309.0,389.0,-80.0,Alabama,79552.0,1,51,01051,0.02434885358004827,7.5688956634069955,11.284166174870382,-0.001005631536604988,-4.382026634673881,13.3928789449342
Escambia County,-1687.0,-234.0,4108.0,4342.0,-1439.0,-2.0,-1437.0,Alabama,38345.0,1,53,01053,-0.043995305776502805,-7.430707082545968,10.55437942019896,-0.037475550919285436,-7.270312886079025,13.390806053915368
Etowah County,-2161.0,-1921.0,10979.0,12900.0,-142.0,273.0,-415.0,Alabama,104459.0,1,55,01055,-0.020687542480781935,-7.6783263565068856,11.556549928902156,-0.003972850592098336,-6.028278520230698,13.392367613591803
Fayette County,-933.0,-526.0,1630.0,2156.0,-396.0,21.0,-417.0,Alabama,17229.0,1,57,01057,-0.05415288176911022,-6.838405200847344,9.754349289532406,-0.024203378025422252,-6.0330862217988015,13.3923645600821
